chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label,name
0.369476861,0.111170799,1357.646722,1627.399036,2710.514234,0.065044682,-191.3957282,140.0652933,-2.803933468,23.83102193,7.368923123,5.510483802,3.643954035,6.591749094,-7.63020125,7.377642046,-3.524170328,3.003447157,-1.018232768,1.221690827,2.602700312,2.378298951,-1.484893776,1.719086887,-5.234694841,0.775285153,prog,UrsineVulpineftAnnacaWickedGame(Lyrics).mp3
0.385822273,0.116485752,2649.77563,2442.340001,5450.829982,0.139722196,-98.53436847,72.88745167,-15.59978735,26.81579996,2.612930544,19.68333973,-4.632749788,5.783904982,-5.142065407,1.571032092,-4.929452136,-3.936772672,-6.89656978,-3.035898027,-4.991783681,-1.91659079,-7.129129231,-1.110612321,-2.970189223,2.927047092,prog,01-hymn_of_the_seventh_galaxy_320_lame_cbr.mp3
0.34176561,0.212458283,1779.380388,2106.072661,3809.974766,0.073657736,-91.41476621,110.7982344,-1.514275997,22.80218791,6.8101798,12.06191938,0.599622611,5.624881544,-5.851657238,0.816836265,-0.672699696,3.112724481,-3.369950739,-1.188439543,-5.712624128,0.997051242,-8.737117412,-0.067570939,-3.405035992,1.100824926,prog,TheRevivalists-WishIKnewYou.mp3
0.368550849,0.105715737,2753.755929,2272.108708,5099.520947,0.158485676,-104.9522181,66.16576368,-39.04553828,12.20882547,-15.24185807,-2.710528214,-11.16346534,0.498993656,-6.96246961,2.147561885,-6.183797202,-0.698110511,-5.909521665,4.567768303,0.181204304,4.052501186,-3.364656794,2.270514698,-6.121645092,-1.138240509,prog,02.Ascension(feat.VinceStaples).mp3
0.384032779,0.199228451,2259.923978,2192.140204,4456.206029,0.121924374,-44.83157965,94.7416637,-25.96893656,31.42520674,-2.168214678,8.091940657,0.955210866,3.558390623,-3.148379204,4.61400112,-6.438724323,-0.290441053,-5.767659822,-0.757216069,-3.024393872,0.265396194,-7.640753216,-1.828790071,-7.301739649,-2.44356732,prog,12-TheGarden.mp3
0.346439997,0.082888894,2143.782738,2358.113039,4706.229581,0.095111945,-162.2583812,95.13424369,1.576083645,34.2936401,-1.226558204,13.94802433,-1.344297796,6.175596071,-2.739319288,2.635870612,-5.409272651,7.221285192,-0.110314028,4.292226809,-2.635990154,1.279812363,-0.159705385,-3.180994903,-7.596813307,2.748952746,prog,01-HardenMyHeart.mp3
0.357678883,0.169990391,2167.344134,2153.654358,4148.577553,0.113975963,-62.44337129,99.29296274,-29.20576637,12.26814574,-8.90857643,-6.320319433,-1.089309448,10.28629341,-1.709499207,2.729241687,-1.454917406,5.282082797,-3.120457567,4.046461272,-5.469805562,3.862132098,-5.116564362,-0.139680297,-2.780382454,1.154424383,prog,07_JohnnyB.Goode.mp3
0.403262867,0.046804797,2134.589711,2032.035598,4099.1096,0.117297557,-220.97403,93.5672501,-30.7147538,45.78517114,0.765833608,16.47288329,0.927838914,8.812435787,-0.661942488,7.167466567,1.603784227,-0.064150533,-4.906837133,-0.652757128,-0.049175099,4.949180673,-6.661076208,0.530997582,0.141881112,-0.949226633,prog,06.InAGaddaDaVida.mp3
0.410413473,0.245114103,2507.495926,2278.275938,4832.357252,0.139975087,-3.464451657,79.29334204,-28.83773804,35.79676897,4.920954283,11.68002709,2.85555571,7.211305254,-1.084360947,2.183326603,-7.479279973,2.297223418,-4.010835231,-1.673742118,-3.460045268,1.986172124,-7.026997573,-1.077127609,-4.224710508,-0.698978311,prog,06_TheOffspring_GoneAway.mp3
0.395881663,0.107601613,2221.643508,2346.613159,4698.968592,0.097064621,-156.9801915,94.47353644,-5.016712134,25.08550523,9.3638201,7.796593163,-0.342346519,3.459454563,-2.273588403,5.172543967,-2.276456174,0.447107423,-5.051777492,0.500443582,-0.994744511,2.350887297,-3.875239263,1.163916036,-2.218260734,0.887660496,prog,4Foxlight.mp3
